# T48 IC catalog generated from XGecu T48 SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
BY25FQ256ELS	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ELE	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ELW	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ELF	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESS	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESE	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESW	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ256ESF	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05ALT	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05ALS	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05ALO	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05ALU	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05AWT	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05AWS	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05AWO	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q05AWU	BOYA MICRO		65536	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10ALT	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10ALS	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10ALO	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10ALM	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10ALU	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10AS	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10AWT	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10AWS	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10AWO	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10AWU	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10BLT	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10BLS	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10BLO	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q10BLU	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20ALT	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20ALS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20ALO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20ALM	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20ALU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AVT	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AVS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AVO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AVM	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AVU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AWT	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AWS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AWO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20AWU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20BLY	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q20BLB	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40ALT	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40ALS	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40ALO	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40ALM	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40ALU	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AVT	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AVS	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AVO	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AVM	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AVU	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AS	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AWT	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AWO	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AWM	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AWU	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40AWW	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40BLT	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40BLM	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GLT	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GLS	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GLO	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GLM	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GLU	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GLW	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GVT	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25Q40GVS	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
